run_id,campaign,model,method,seed,steps,regime,math500,aime24,olympiadbench,minerva_math,gsm8k,kk_hard,bbh_logical_deduction,bbh_tracking,zebra_logic_mc,gpqa_diamond,mmlu_pro_chemistry,mmlu_pro_physics
v2_7b__ar_s1,main,Qwen2.5-7B-Instruct,ar,1,300,,86.4,13.3,40.0,33.8,92.3,21.0,75.2,85.6,38.2,31.818181818181817,56.8,58.6
v2_7b__ar_s2,main,Qwen2.5-7B-Instruct,ar,2,300,,87.0,10.0,39.3,33.5,92.2,32.0,78.66666666666667,80.13333333333334,38.4,38.888888888888886,60.0,62.8
v2_7b__ar_s3,main,Qwen2.5-7B-Instruct,ar,3,300,,86.4,16.7,41.0,36.4,92.1,21.0,73.2,81.33333333333333,37.2,30.80808080808081,30.2,37.8
v2_7b__baseline_s1,main,Qwen2.5-7B-Instruct,baseline,1,300,,87.4,16.7,39.0,32.7,92.0,33.5,73.73333333333333,86.4,37.4,40.4040404040404,57.6,58.6
v2_7b__baseline_s2,main,Qwen2.5-7B-Instruct,baseline,2,300,,87.2,10.0,39.0,32.7,93.8,29.0,78.66666666666667,81.2,36.4,36.36363636363637,56.4,60.2
v2_7b__baseline_s3,main,Qwen2.5-7B-Instruct,baseline,3,300,,87.2,10.0,38.7,38.2,92.2,27.5,72.26666666666667,85.86666666666666,25.8,39.39393939393939,57.8,58.2
v2_7b__diffband_s1,main,Qwen2.5-7B-Instruct,diffband,1,300,,85.4,16.7,39.9,39.0,92.4,25.0,73.46666666666667,89.6,31.0,37.878787878787875,55.4,58.8
v2_7b__diffband_s2,main,Qwen2.5-7B-Instruct,diffband,2,300,,86.2,13.3,39.3,36.0,92.6,45.5,80.26666666666667,85.2,37.2,35.85858585858586,59.8,61.8
v2_7b__diffband_s3,main,Qwen2.5-7B-Instruct,diffband,3,300,,86.4,20.0,39.1,34.2,92.2,44.5,77.6,88.66666666666667,30.0,30.80808080808081,25.0,32.2
v2_7b__difffilter_s1,main,Qwen2.5-7B-Instruct,difffilter,1,300,,87.0,10.0,40.7,36.0,92.0,41.5,75.46666666666667,83.33333333333333,38.0,35.35353535353536,57.6,61.8
v2_7b__difffilter_s2,main,Qwen2.5-7B-Instruct,difffilter,2,300,,86.2,10.0,40.1,36.8,92.0,26.0,74.13333333333334,80.4,37.4,34.343434343434346,53.2,60.0
v2_7b__difffilter_s3,main,Qwen2.5-7B-Instruct,difffilter,3,300,,86.4,13.3,40.9,32.7,92.0,29.0,79.73333333333333,89.86666666666666,36.0,35.85858585858586,58.2,60.6
v2_7b__gfpo_s1,main,Qwen2.5-7B-Instruct,gfpo,1,300,,85.8,13.3,40.3,35.3,91.8,38.0,78.26666666666667,83.86666666666666,39.8,36.36363636363637,58.0,61.4
v2_7b__gfpo_s2,main,Qwen2.5-7B-Instruct,gfpo,2,300,,86.0,16.7,39.9,34.9,92.8,44.0,77.73333333333333,83.06666666666666,33.2,34.84848484848485,59.2,63.2
v2_7b__gfpo_s3,main,Qwen2.5-7B-Instruct,gfpo,3,300,,85.0,13.3,40.3,34.6,93.0,26.0,76.26666666666667,82.53333333333333,39.4,32.82828282828283,58.2,61.4
v2_7b__maxvar_s1,main,Qwen2.5-7B-Instruct,maxvar,1,300,,86.2,16.7,38.2,33.8,92.9,21.0,72.0,86.93333333333334,34.8,37.37373737373738,58.2,58.4
v2_7b__maxvar_s2,main,Qwen2.5-7B-Instruct,maxvar,2,300,,84.8,10.0,38.8,34.9,91.6,34.5,77.46666666666667,87.46666666666667,33.2,39.39393939393939,56.4,59.4
v2_7b__maxvar_s3,main,Qwen2.5-7B-Instruct,maxvar,3,300,,86.6,13.3,37.2,37.1,92.9,22.0,75.06666666666666,84.13333333333334,37.4,35.35353535353536,59.4,62.0
v2_7b__per_s1,main,Qwen2.5-7B-Instruct,per,1,300,,84.6,10.0,40.4,36.0,92.1,28.5,76.53333333333333,83.06666666666666,37.8,35.35353535353536,57.2,61.6
v2_7b__per_s2,main,Qwen2.5-7B-Instruct,per,2,300,,86.6,16.7,38.8,33.5,92.5,8.5,73.2,86.13333333333334,28.4,36.86868686868687,60.4,59.8
v2_7b__per_s3,main,Qwen2.5-7B-Instruct,per,3,300,,87.2,13.3,38.1,33.5,92.3,27.5,77.2,84.13333333333334,39.8,33.83838383838384,59.4,61.2
v2_7b__softmax_s1,main,Qwen2.5-7B-Instruct,softmax,1,300,,85.8,13.3,39.4,36.8,92.0,18.0,74.66666666666667,85.33333333333333,37.4,33.333333333333336,56.6,58.8
v2_7b__softmax_s2,main,Qwen2.5-7B-Instruct,softmax,2,300,,84.6,16.7,38.8,36.8,92.2,35.0,76.66666666666667,87.06666666666666,42.8,38.38383838383838,58.6,59.2
v2_7b__softmax_s3,main,Qwen2.5-7B-Instruct,softmax,3,300,,86.4,16.7,39.1,33.1,92.3,18.0,75.06666666666666,84.13333333333334,31.8,39.39393939393939,54.4,61.6
v2_7b__topk_s1,main,Qwen2.5-7B-Instruct,topk,1,300,,85.4,16.7,39.1,36.0,92.0,29.5,75.86666666666666,82.4,31.6,33.83838383838384,54.6,59.0
v2_7b__topk_s2,main,Qwen2.5-7B-Instruct,topk,2,300,,85.6,16.7,40.3,34.2,92.3,33.0,74.8,82.4,36.2,32.82828282828283,61.2,57.2
v2_7b__topk_s3,main,Qwen2.5-7B-Instruct,topk,3,300,,87.8,20.0,40.7,36.4,91.6,10.5,76.93333333333334,82.0,30.6,36.36363636363637,58.8,60.2
v2_05b__ar_s1,main,Qwen2.5-0.5B-Instruct,ar,1,300,,47.0,0.0,8.3,6.6,53.1,1.5,22.533333333333335,22.533333333333335,12.2,20.707070707070706,15.2,14.6
v2_05b__ar_s2,main,Qwen2.5-0.5B-Instruct,ar,2,300,,50.4,0.0,8.0,6.6,52.0,1.0,21.6,20.666666666666668,17.2,28.282828282828284,12.6,16.8
v2_05b__ar_s3,main,Qwen2.5-0.5B-Instruct,ar,3,300,,47.6,0.0,9.5,9.2,52.5,1.0,23.6,21.866666666666667,16.6,22.727272727272727,14.2,13.2
v2_05b__baseline_s1,main,Qwen2.5-0.5B-Instruct,baseline,1,300,,49.0,0.0,9.3,8.8,53.6,1.0,23.866666666666667,16.933333333333334,12.4,26.262626262626263,14.4,13.4
v2_05b__baseline_s2,main,Qwen2.5-0.5B-Instruct,baseline,2,300,,48.0,0.0,8.3,6.6,52.4,0.5,23.333333333333332,22.8,17.8,27.77777777777778,13.4,14.8
v2_05b__baseline_s3,main,Qwen2.5-0.5B-Instruct,baseline,3,300,,47.2,0.0,9.2,7.0,54.3,0.5,22.666666666666668,21.466666666666665,16.6,23.737373737373737,16.2,14.8
v2_05b__diffband_s1,main,Qwen2.5-0.5B-Instruct,diffband,1,300,,49.8,0.0,9.8,9.6,50.6,0.5,23.733333333333334,20.4,13.2,20.707070707070706,13.2,12.0
v2_05b__diffband_s2,main,Qwen2.5-0.5B-Instruct,diffband,2,300,,46.6,0.0,10.4,8.5,53.4,3.0,22.4,23.066666666666666,16.8,21.717171717171716,11.4,15.4
v2_05b__diffband_s3,main,Qwen2.5-0.5B-Instruct,diffband,3,300,,50.6,0.0,9.6,8.8,53.1,1.0,22.666666666666668,20.0,13.4,20.707070707070706,11.0,14.6
v2_05b__difffilter_s1,main,Qwen2.5-0.5B-Instruct,difffilter,1,300,,49.8,0.0,10.1,6.6,52.0,0.5,24.0,19.466666666666665,10.8,21.21212121212121,13.6,13.8
v2_05b__difffilter_s2,main,Qwen2.5-0.5B-Instruct,difffilter,2,300,,50.0,0.0,8.9,7.4,52.3,1.5,23.733333333333334,19.333333333333332,9.2,24.747474747474747,12.6,12.2
v2_05b__difffilter_s3,main,Qwen2.5-0.5B-Instruct,difffilter,3,300,,47.2,0.0,9.8,9.2,50.5,1.5,23.2,22.533333333333335,12.8,22.727272727272727,14.0,14.8
v2_05b__gfpo_s1,main,Qwen2.5-0.5B-Instruct,gfpo,1,300,,47.6,0.0,8.7,5.9,51.0,2.0,22.133333333333333,22.933333333333334,11.6,22.727272727272727,15.0,14.6
v2_05b__gfpo_s2,main,Qwen2.5-0.5B-Instruct,gfpo,2,300,,48.6,0.0,10.2,7.4,51.4,0.0,23.2,20.8,16.0,21.21212121212121,15.4,13.4
v2_05b__gfpo_s3,main,Qwen2.5-0.5B-Instruct,gfpo,3,300,,45.2,0.0,9.0,8.1,53.9,1.0,22.133333333333333,22.666666666666668,11.4,25.757575757575758,13.6,12.2
v2_05b__maxvar_s1,main,Qwen2.5-0.5B-Instruct,maxvar,1,300,,49.2,0.0,9.0,7.0,52.2,1.0,24.133333333333333,18.533333333333335,10.4,19.19191919191919,13.0,13.2
v2_05b__maxvar_s2,main,Qwen2.5-0.5B-Instruct,maxvar,2,300,,47.0,0.0,9.3,8.8,52.2,0.5,22.666666666666668,23.2,15.6,29.7979797979798,14.8,14.6
v2_05b__maxvar_s3,main,Qwen2.5-0.5B-Instruct,maxvar,3,300,,50.2,0.0,8.4,7.7,53.7,2.0,23.733333333333334,21.866666666666667,18.2,27.77777777777778,12.8,12.4
v2_05b__per_s1,main,Qwen2.5-0.5B-Instruct,per,1,300,,49.8,0.0,8.6,7.7,52.9,1.5,23.466666666666665,19.733333333333334,16.0,26.262626262626263,16.0,13.0
v2_05b__per_s2,main,Qwen2.5-0.5B-Instruct,per,2,300,,52.2,0.0,9.3,7.0,54.1,0.5,23.2,22.0,12.2,27.272727272727273,13.4,14.0
v2_05b__per_s3,main,Qwen2.5-0.5B-Instruct,per,3,300,,49.2,0.0,9.2,7.7,51.6,0.5,23.2,20.533333333333335,9.2,23.232323232323232,14.4,13.8
v2_05b__softmax_s1,main,Qwen2.5-0.5B-Instruct,softmax,1,300,,44.6,0.0,10.4,8.1,51.9,0.5,21.333333333333332,22.133333333333333,17.8,24.242424242424242,14.6,15.6
v2_05b__softmax_s2,main,Qwen2.5-0.5B-Instruct,softmax,2,300,,50.0,0.0,9.6,6.6,52.8,0.5,24.933333333333334,20.933333333333334,9.8,22.727272727272727,12.8,13.4
v2_05b__softmax_s3,main,Qwen2.5-0.5B-Instruct,softmax,3,300,,47.0,0.0,9.2,5.9,52.9,1.0,24.133333333333333,19.6,15.2,23.737373737373737,14.8,14.6
v2_05b__topk_s1,main,Qwen2.5-0.5B-Instruct,topk,1,300,,48.4,0.0,8.1,6.6,52.1,0.5,24.4,20.666666666666668,13.8,25.757575757575758,13.6,15.8
v2_05b__topk_s2,main,Qwen2.5-0.5B-Instruct,topk,2,300,,50.0,0.0,9.5,8.8,53.2,1.0,22.4,18.4,12.8,23.737373737373737,14.0,15.8
v2_05b__topk_s3,main,Qwen2.5-0.5B-Instruct,topk,3,300,,47.8,0.0,9.0,8.1,53.6,2.0,22.8,22.0,15.2,25.252525252525253,15.8,16.2
v2_mix7b__dump_ucb_s1,mixer,Qwen2.5-7B-Instruct,dump_ucb,1,300,,86.2,20.0,40.6,37.1,92.6,22.0,79.6,82.13333333333334,30.2,29.7979797979798,26.8,33.6
v2_mix7b__dump_ucb_s2,mixer,Qwen2.5-7B-Instruct,dump_ucb,2,300,,85.8,13.3,40.0,36.8,92.2,25.0,74.93333333333334,86.93333333333334,40.4,29.292929292929294,36.8,45.4
