prompt_idx,reward,k_t,advantage,abs_advantage,group_mean_reward,data_source
5,0.0,0.08466384559869766,0.0,0.0,0.0,kk_logic
13,0.0,0.08929470926523209,0.0,0.0,0.0,sciq
19,0.0,0.07336021959781647,-0.8,0.8,0.8,HuggingFaceH4/MATH-500
30,0.0,0.07896703481674194,0.0,0.0,0.0,kk_logic
36,0.0,0.34025174379348755,-0.2,0.2,0.2,sciq
36,0.0,0.10941710323095322,-0.2,0.2,0.2,sciq
40,0.0,0.09382732957601547,-0.8,0.8,0.8,sciq
43,0.0,0.09374692291021347,-0.6,0.6,0.6,HuggingFaceH4/MATH-500
51,0.0,0.08166982233524323,-0.6,0.6,0.6,HuggingFaceH4/MATH-500
53,0.0,0.09223699569702148,-0.8,0.8,0.8,sciq
54,0.0,0.08095765858888626,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
58,0.0,0.08687244355678558,-0.2,0.2,0.2,sciq
62,0.0,0.07377298176288605,0.0,0.0,0.0,HuggingFaceH4/MATH-500
63,0.0,0.07801157236099243,-0.4,0.4,0.4,sciq
65,0.0,0.1096985712647438,0.0,0.0,0.0,kk_logic
68,0.0,0.08053672313690186,0.0,0.0,0.0,kk_logic
79,0.0,0.07408194988965988,0.0,0.0,0.0,HuggingFaceH4/MATH-500
84,0.0,0.07318691164255142,0.0,0.0,0.0,kk_logic
87,0.0,0.08356030285358429,0.0,0.0,0.0,sciq
87,0.0,0.07893384248018265,0.0,0.0,0.0,sciq
